dataset,seed,learning_rate,group,time,peer,round,accuracy,loss
emotion,42,0.0005,DL,25.000000,0,5,0.344000,1.618248
emotion,42,0.0005,DL,50.000000,0,10,0.467500,1.545998
emotion,42,0.0005,DL,75.000000,0,15,0.590500,1.159043
emotion,42,0.0005,DL,100.000000,0,20,0.656500,0.958557
emotion,42,0.0005,DL,125.000000,0,25,0.693500,0.841350
emotion,42,0.0005,DL,150.000000,0,30,0.735000,0.750402
emotion,42,0.0005,DL,175.000000,0,35,0.755000,0.669643
emotion,42,0.0005,DL,200.000000,0,40,0.771000,0.642243
emotion,42,0.0005,DL,225.000000,0,45,0.782000,0.603345
emotion,42,0.0005,DL,250.000000,0,50,0.790500,0.566100
emotion,42,0.0005,DL,275.000000,0,55,0.807500,0.533234
emotion,42,0.0005,DL,300.000000,0,60,0.810500,0.525443
emotion,42,0.0005,DL,325.000000,0,65,0.819000,0.487424
emotion,42,0.0005,DL,350.000000,0,70,0.821500,0.486123
emotion,42,0.0005,DL,375.000000,0,75,0.837500,0.451446
emotion,42,0.0005,DL,400.000000,0,80,0.840500,0.436784
emotion,42,0.0005,DL,425.000000,0,85,0.850000,0.424845
emotion,42,0.0005,DL,450.000000,0,90,0.850000,0.421920
emotion,42,0.0005,DL,475.000000,0,95,0.852500,0.412055
emotion,42,0.0005,DL,500.000000,0,100,0.860500,0.404636
emotion,42,0.0005,DL,525.000000,0,105,0.860000,0.396180
emotion,42,0.0005,DL,550.000000,0,110,0.868000,0.382813
emotion,42,0.0005,DL,575.000000,0,115,0.873000,0.374904
emotion,42,0.0005,DL,600.000000,0,120,0.872000,0.381381
emotion,42,0.0005,DL,625.000000,0,125,0.881500,0.358013
emotion,42,0.0005,DL,650.000000,0,130,0.881000,0.365449
emotion,42,0.0005,DL,675.000000,0,135,0.882500,0.364774
emotion,42,0.0005,DL,700.000000,0,140,0.883500,0.354483
emotion,42,0.0005,DL,725.000000,0,145,0.887500,0.354281
emotion,42,0.0005,DL,750.000000,0,150,0.885500,0.366720
emotion,42,0.0005,DL,775.000000,0,155,0.890000,0.353496
emotion,42,0.0005,DL,800.000000,0,160,0.884500,0.352723
emotion,42,0.0005,DL,825.000000,0,165,0.890500,0.345430
emotion,42,0.0005,DL,850.000000,0,170,0.894500,0.354955
emotion,42,0.0005,DL,875.000000,0,175,0.896500,0.345843
emotion,42,0.0005,DL,900.000000,0,180,0.902000,0.343314
emotion,42,0.0005,DL,925.000000,0,185,0.894500,0.348715
emotion,42,0.0005,DL,950.000000,0,190,0.902000,0.344763
emotion,42,0.0005,DL,975.000000,0,195,0.899500,0.338935
