dataset,seed,learning_rate,group,time,peer,round,accuracy,loss
newsgroups,42,0.0005,FedAdam,3.318000,6,5,0.470260,1.645512
newsgroups,42,0.0005,FedAdam,6.886000,52,10,0.595459,1.333210
newsgroups,42,0.0005,FedAdam,9.906000,21,15,0.627058,1.279000
newsgroups,42,0.0005,FedAdam,13.260000,37,20,0.656399,1.141739
newsgroups,42,0.0005,FedAdam,16.493000,17,25,0.668614,1.147096
newsgroups,42,0.0005,FedAdam,20.104000,46,30,0.680828,1.132352
newsgroups,42,0.0005,FedAdam,23.422000,19,35,0.680828,1.122770
newsgroups,42,0.0005,FedAdam,26.680000,19,40,0.686139,1.152925
newsgroups,42,0.0005,FedAdam,30.186000,12,45,0.689193,1.140089
newsgroups,42,0.0005,FedAdam,33.780000,21,50,0.691052,1.157394
newsgroups,42,0.0005,FedAdam,37.456000,27,55,0.694238,1.165896
newsgroups,42,0.0005,FedAdam,40.726000,46,60,0.688662,1.179342
newsgroups,42,0.0005,FedAdam,43.991000,17,65,0.690122,1.204516
newsgroups,42,0.0005,FedAdam,47.604000,20,70,0.689857,1.228653
newsgroups,42,0.0005,FedAdam,51.268000,35,75,0.692379,1.240402
newsgroups,42,0.0005,FedAdam,54.472000,47,80,0.690388,1.286821
newsgroups,42,0.0005,FedAdam,58.442000,7,85,0.687998,1.347970
newsgroups,42,0.0005,FedAdam,61.812000,3,90,0.686272,1.358058
newsgroups,42,0.0005,FedAdam,64.952000,63,95,0.690122,1.395831
newsgroups,42,0.0005,FedAdam,68.191000,22,100,0.690919,1.426777
newsgroups,42,0.0005,FedAdam,71.175000,48,105,0.689989,1.449291
newsgroups,42,0.0005,FedAdam,74.510000,23,110,0.692246,1.515163
newsgroups,42,0.0005,FedAdam,78.334000,15,115,0.692379,1.572978
newsgroups,42,0.0005,FedAdam,81.606000,11,120,0.686272,1.542055
newsgroups,42,0.0005,FedAdam,85.071000,30,125,0.690122,1.597247
newsgroups,42,0.0005,FedAdam,88.560000,5,130,0.691317,1.688653
newsgroups,42,0.0005,FedAdam,92.090000,19,135,0.695698,1.681267
newsgroups,42,0.0005,FedAdam,95.468000,7,140,0.688927,1.745704
newsgroups,42,0.0005,FedAdam,98.800000,36,145,0.690786,1.753122
newsgroups,42,0.0005,FedAdam,102.212000,51,150,0.689458,1.807695
newsgroups,42,0.0005,FedAdam,105.688000,35,155,0.687069,1.866619
newsgroups,42,0.0005,FedAdam,108.766000,29,160,0.690255,1.886587
newsgroups,42,0.0005,FedAdam,111.816000,26,165,0.692379,1.881619
newsgroups,42,0.0005,FedAdam,115.212000,37,170,0.691981,1.957493
newsgroups,42,0.0005,FedAdam,118.472000,5,175,0.687600,1.965684
newsgroups,42,0.0005,FedAdam,121.572000,50,180,0.694105,1.965971
newsgroups,42,0.0005,FedAdam,125.086000,53,185,0.688396,2.039143
newsgroups,42,0.0005,FedAdam,128.182000,44,190,0.684944,2.128596
newsgroups,42,0.0005,FedAdam,131.182000,53,195,0.682554,2.150607
newsgroups,42,0.0005,FedAdam,134.586000,51,200,0.690255,2.152467
newsgroups,42,0.0005,FedAdam,137.902000,36,205,0.693707,2.304541
