dataset,seed,learning_rate,group,time,peer,round,accuracy,loss
wikitext,42,0.0005,DL,50.000000,0,5,0.000000,4.191619
wikitext,42,0.0005,DL,100.000000,0,10,0.000000,3.997520
wikitext,42,0.0005,DL,150.000000,0,15,0.000000,3.878908
wikitext,42,0.0005,DL,200.000000,0,20,0.000000,3.804244
wikitext,42,0.0005,DL,250.000000,0,25,0.000000,3.754106
wikitext,42,0.0005,DL,300.000000,0,30,0.000000,3.720102
wikitext,42,0.0005,DL,350.000000,0,35,0.000000,3.698450
wikitext,42,0.0005,DL,400.000000,0,40,0.000000,3.683791
wikitext,42,0.0005,DL,450.000000,0,45,0.000000,3.672570
wikitext,42,0.0005,DL,500.000000,0,50,0.000000,3.663746
wikitext,42,0.0005,DL,550.000000,0,55,0.000000,3.655875
wikitext,42,0.0005,DL,600.000000,0,60,0.000000,3.649214
wikitext,42,0.0005,DL,650.000000,0,65,0.000000,3.643698
wikitext,42,0.0005,DL,700.000000,0,70,0.000000,3.639051
wikitext,42,0.0005,DL,750.000000,0,75,0.000000,3.633709
wikitext,42,0.0005,DL,800.000000,0,80,0.000000,3.629739
wikitext,42,0.0005,DL,850.000000,0,85,0.000000,3.625875
wikitext,42,0.0005,DL,900.000000,0,90,0.000000,3.622141
wikitext,42,0.0005,DL,950.000000,0,95,0.000000,3.619360
wikitext,42,0.0005,DL,1000.000000,0,100,0.000000,3.616031
wikitext,42,0.0005,FedAvg,3.318000,6,5,0.000000,4.011728
wikitext,42,0.0005,FedAvg,6.886000,52,10,0.000000,3.881853
wikitext,42,0.0005,FedAvg,9.906000,21,15,0.000000,3.803846
wikitext,42,0.0005,FedAvg,13.260000,37,20,0.000000,3.753752
wikitext,42,0.0005,FedAvg,16.493000,17,25,0.000000,3.718592
wikitext,42,0.0005,FedAvg,20.104000,46,30,0.000000,3.696797
wikitext,42,0.0005,FedAvg,23.422000,19,35,0.000000,3.681595
wikitext,42,0.0005,FedAvg,26.680000,19,40,0.000000,3.670381
wikitext,42,0.0005,FedAvg,30.186000,12,45,0.000000,3.661546
wikitext,42,0.0005,FedAvg,33.780000,21,50,0.000000,3.653545
wikitext,42,0.0005,FedAvg,37.456000,27,55,0.000000,3.647053
wikitext,42,0.0005,FedAvg,40.726000,46,60,0.000000,3.641714
wikitext,42,0.0005,FedAvg,43.991000,17,65,0.000000,3.636290
wikitext,42,0.0005,FedAvg,47.604000,20,70,0.000000,3.631445
wikitext,42,0.0005,FedAvg,51.268000,35,75,0.000000,3.627878
wikitext,42,0.0005,FedAvg,54.472000,47,80,0.000000,3.623887
wikitext,42,0.0005,FedAvg,58.442000,7,85,0.000000,3.620422
wikitext,42,0.0005,FedAvg,61.812000,3,90,0.000000,3.616901
wikitext,42,0.0005,FedAvg,64.952000,63,95,0.000000,3.614125
wikitext,42,0.0005,FedAvg,68.191000,22,100,0.000000,3.612048
wikitext,42,0.0005,FedAdam,3.318000,6,5,0.000000,3.916473
wikitext,42,0.0005,FedAdam,6.886000,52,10,0.000000,3.784462
wikitext,42,0.0005,FedAdam,9.906000,21,15,0.000000,3.725197
wikitext,42,0.0005,FedAdam,13.260000,37,20,0.000000,3.683333
wikitext,42,0.0005,FedAdam,16.493000,17,25,0.000000,3.653831
wikitext,42,0.0005,FedAdam,20.104000,46,30,0.000000,3.632621
wikitext,42,0.0005,FedAdam,23.422000,19,35,0.000000,3.615033
wikitext,42,0.0005,FedAdam,26.680000,19,40,0.000000,3.602054
wikitext,42,0.0005,FedAdam,30.186000,12,45,0.000000,3.591139
wikitext,42,0.0005,FedAdam,33.780000,21,50,0.000000,3.583616
wikitext,42,0.0005,FedAdam,37.456000,27,55,0.000000,3.576698
wikitext,42,0.0005,FedAdam,40.726000,46,60,0.000000,3.570264
wikitext,42,0.0005,FedAdam,43.991000,17,65,0.000000,3.565391
wikitext,42,0.0005,FedAdam,47.604000,20,70,0.000000,3.561284
wikitext,42,0.0005,FedAdam,51.268000,35,75,0.000000,3.559450
wikitext,42,0.0005,FedAdam,54.472000,47,80,0.000000,3.555528
wikitext,42,0.0005,FedAdam,58.442000,7,85,0.000000,3.552630
wikitext,42,0.0005,FedAdam,61.812000,3,90,0.000000,3.551189
wikitext,42,0.0005,FedAdam,64.952000,63,95,0.000000,3.549021
wikitext,42,0.0005,FedAdam,68.191000,22,100,0.000000,3.546732
